gp_id	kind	status	path	last_modified
GP-011	seam	active	research_areas/seams/engine/grammar/GP-011_derived_constraints_lane_seam.md	2026-04-21
GP-011	spec	active	research_areas/specs/active/engine/grammar/GP-011_derived_constraints_lane_spec.md	2026-04-11
GP-020	seam	active	research_areas/seams/apparatus/supervisor/GP-020_supervising_agent_closure_discipline_seam.md	2026-04-15
GP-020	spec	active	research_areas/private/specs/active/apparatus/supervisor/GP-020_supervising_agent_closure_discipline_spec.md	2026-04-12
GP-021	seam	active	research_areas/seams/engine/grammar/GP-021_topological_pivot_heuristics_seam.md	2026-04-10
GP-021	spec	active	research_areas/specs/active/engine/grammar/GP-021_topological_pivot_heuristics_spec.md	2026-04-10
GP-022	seam	active	research_areas/seams/apparatus/instrumentation/GP-022_forecast_project_typing_seam.md	2026-04-10
GP-022	spec	active	research_areas/specs/active/apparatus/instrumentation/GP-022_forecast_project_typing_spec.md	2026-04-10
GP-023	other	active	research_areas/catch_grammar/probes/probe_01_gp023_seam.md	2026-04-10
GP-023	other	active	research_areas/catch_grammar/probes/probe_02_gp023_pre_registration.md	2026-04-10
GP-023	other	active	research_areas/private/gp023_contamination_audit_01.md	2026-04-10
GP-023	postmortem	active	research_areas/private/postmortems/gp023_phase2_classification_correction_2026_04_12.md	2026-04-12
GP-023	postmortem	active	research_areas/private/postmortems/gp023_phase3_prompt_surface_contamination_2026_04_12.md	2026-04-13
GP-023	project	active	projects/gp023_crucial_01	2026-04-18
GP-023	project	active	projects/gp023_crucial_01/history/1776516560_iter0_score_0_gp023_crucial_01.md	2026-04-18
GP-023	project	active	projects/gp023_crucial_01/history/1776516560_iter0_score_0_gp023_crucial_01_dag.json	2026-04-18
GP-023	project	active	projects/gp023_crucial_01/history/1776516560_iter0_score_0_gp023_crucial_01_meta.json	2026-04-18
GP-023	project	active	projects/gp023_crucial_01/history/1776516560_iter11_score_93_gp023_crucial_01.md	2026-04-18
GP-023	project	active	projects/gp023_crucial_01/history/1776516560_iter11_score_93_gp023_crucial_01_dag.json	2026-04-18
GP-023	project	active	projects/gp023_crucial_01/history/1776516560_iter11_score_93_gp023_crucial_01_meta.json	2026-04-18
GP-023	project	active	projects/gp023_crucial_01/history/1776516560_iter14_score_94_gp023_crucial_01.md	2026-04-18
GP-023	project	active	projects/gp023_crucial_01/history/1776516560_iter14_score_94_gp023_crucial_01_dag.json	2026-04-18
GP-023	project	active	projects/gp023_crucial_01/history/1776516560_iter14_score_94_gp023_crucial_01_meta.json	2026-04-18
